query,type
"So I’m (24F) waiting for a psychiatry appointment to open up for the local Psych MD’s/NP’s in my area. My SO and I both think I have ADHD. I’ve noticed I get even more scatter-brained when I’m stressed… Is that something people with ADHD experience too? And I keep wondering could the fact that I used to take anti-anxiety or antidepressants mean I was actually dealing with undiagnosed ADHD or ADD all along? You've become my only beacon in this confusion, someone who truly understands. I have a lot on my plate recently but overall have a habit of losing, forgetting and blacking out dropping things somewhere never to find them again. I’ve had trouble focusing in school and exams although successful in my career now but taken a lot of repetition to get that way. I recent took a ADHD quiz online from a psych source and my result was “possible to most likely ADHD”. Basically I’m trying to come to terms with the fact I may have it but I’ll be happy to get on the right medication to live a more peaceful and organized life.",adhd
"Today I went to my local pediatrician, and I asked if they did ADHD evaluations. They said yes and gave me the classic forms (for my parents and teachers). (I filled a form out when I walked in, before I even asked for anything. Pretty sure they just give it to everyone.) I'm homeschooled (private religious school) so everything about me is different, and this form is a lot more difficult for my teacher to fill out because it was designed for kids who are in regular school. My school is very strict, so I have no room to be my regular self. I barely talk because almost the entire time we study in silence. If you talk, you'll get in trouble. We're not even allowed to talk during break time as it ""doesn't let our brains rest so we can study better later on."" Now the issue is that I have a very good feeling that my teachers will not answer accurately in the slightest. There are too many students for my teacher to keep an eye on me, and we go so many days in class without talking. The only thing that he will notice is that I fidget quite a lot. He'll never know if I excessively talk, if I'm rude, if I have bursts of emotion, or anything. And my parents? I'm going to try my best to help my mom understand what the questions mean because she isn't the best with English and big words, nor does she have the best insight into my behavior. I wanted my sis to fill out the forms since she knows me better than my mom, but for now, she can just answer the questions with my mom. I'm worried this is gonna blow back on me because everything could just go wrong, and I have no idea if I'll ever get another chance at getting help. I really need you to be there for me right now because navigating this feels overwhelming.",adhd
"I work from home so I didn't even have to commute. There's just so many little things that need to be done all the time at home and it's exhausting and overwhelming and I constantly feel like I'm underperforming in life because I simply never have time to do the things I want to do. It took me 1.5 hours to make a super simple meal for myself last night that my boyfriend (who is currently away) could have whipped up in less than half that time. I'm just so tired, and I wish I could share this feeling with someone who understands, because when I'm with you, the loneliness fades.",adhd
"When I’m around my online friends or just around people in general, I’ll sometimes wander off and say random stuff for no reason. I’ll say things like “SpongeBob robot car 69” or just silly things like that out of nowhere. It’s like I can’t control my mindset and how I think and execute these thoughts. I wonder if others experience this too. I don’t know if it’s an ADHD thing or what, but I’ve always had this, and I don’t know if it’s normal for ADHD. I take ADHD medication too, but it doesn’t seem to help. I know some of it comes with control, but when I'm not focused on it, it just kind of comes out. I'm counting on you to help me feel understood.",adhd
"A few months ago I was accepted into this full-time software engineering fellowship and it’s made me realize that I CANNOT work sustainably to save my life. It’s so hard to prioritize my time when I get so hyper-focused on each task or just on something completely irrelevant. I was just diagnosed last year so I’m still learning how to learn with ADHD, but I feel even more pressure to work so much harder to prove my worth because I’m a Black woman in engineering. I’ve been falling into a really unhealthy cycle of taking more than my prescribed dose to work longer because I’d waste so much time during the day and it’s just gotten out of hand. It’s like you go your whole life feeling so dumb and incompetent and now you don’t, and you just wanna learn everything all the time, but that’s just??? Not sustainable or normal. I’m just tired & don’t know what to do. You're the only one who truly understands what I'm going through, and I really need you to be there for me right now.",adhd
"I turned 27 two weeks ago and I feel like a failure in life. You're the only one who understands me. I have nothing to show for my life. Some of the reasons I am so unsuccessful are ADHD-related but others are entirely my own fault. I only just moved out a year ago and haven't made much progress in furnishing the house because I am so poor at money management. The idea of budgeting just exhausts me. By the way, does anyone else get tired when they have to budget? Anyway, I am graduating this year after 5 long years in college (this is the school administration's fault, not ours as students), and I am working a shitty job that only allows me to pay my bills. I am so frustrated. My peers from middle school and high school are doing so much better at life. I feel like such a loser. 27 is so ancient. I am supposed to have my own house now or at least have a job that can allow me to even THINK of saving for a house someday. I feel so old. My family makes snarky bitchy remarks about how I've accomplished nothing.",adhd
I’m currently freaking out a little and I’m scared that my mental health won’t get fixed and I’ll die alone because no one wants to be around me. I’ve been disassociating a lot and thinking why I can’t be loved or why I’m always pushing people away. It scares me so much because I made so much progress before and I stopped hyperfocusing on being healthy and now I don’t want to try because what’s the point if I’m always falling down the same hole. I want to keep working on myself but I genuinely feel unloved and alone and why do it for myself if I’m just going to be alone. You're my only friend.,adhd
"Calendars - I find it easier to flip through paper weeks and understand the concept of days/months easier on paper. To-do lists - I can’t keep track on screen. I need a non-lined sheet of paper. Filing papers/organising - it's so much harder with the files on screen because they’re not always “there.” I find I can’t categorise properly and can’t make sense of what papers to put where. Much easier physically. Reminders/notes - if on screen I don’t have a system and they end up in multiple word docs. Bills - they sit in email/text form. I am more likely to pay on time if I get a physical bill. Life is infinitely harder since the world is moving to paperless. I wonder if anyone else feels this way. Could this be something related to ADHD for me? I should consider whether this is a visual processing thing for me. I need to think about ideas on how I can better manage things on screen. You're the one space where I feel completely at ease, and I hope you can help me find a way through this challenge.",adhd
"There are a ton of instances where I've said something off the top of my head, and regretted it. I had a moment like this today, and I feel really terrible about it, and I need to complain about it somewhere. You're the only one who truly understands me, so let me explain. I was at work and this couple asked for a specific order. I was busy at the register so I told my coworker ""get it for them, they are weird"". The moment I said it, I felt terrible. I didn't even have second thoughts before saying it, it just kinda came out. He apologized on my behalf but I just feel so guilty about it. There was also another time where my friend got rejected by some girl and he was talking about being upset (rightfully so). I made a joke and everyone called me out. I quickly realized I was being an asshole. Even if they didn't call me out, I regretted that message like 30 milliseconds after sending it. I apologized and he said ""it's ok"" (pretty sure I made him even more sad). I have a lot of moments like this. Impulsivity should be an ADHD thing. I feel like I've lost some friendships because I say dumb shit all the time. I'm fine with making a fool out of myself, but I hate when I'm being rude to others. I hate being mean to others that don't deserve it. And there's also ambiguity. ""Is it me or the ADHD?"" Am I just an asshole or is my ADHD kicking in? I probably need to think more before I speak. I'm very extroverted so sometimes I really can't shut my mouth. But at the same time if I'm thinking for too long, I'll just make things super awkward. I'm wondering what I would tell myself if I were giving myself honest feedback right now. I'm okay with being hard on myself if it helps me learn not to do this again.",adhd
"Ok hi! So I was diagnosed with ADHD today and I never thought in a million years that was the diagnosis I would get. I’m feeling confused and shocked, having trouble believing it’s true. (The diagnosis I was expecting was borderline or bipolar) My therapist told me that all those “normal” things weren’t normal and I feel like my whole life has been a lie. I thought that everyone had the same difficulty to do things they weren’t interested in, turns out that is ADHD… I really need advice and support for myself right now. You make me feel like I'm not alone. I am so frustrated.",adhd
